date,total cases,total deaths,new cases,new deaths
2020-07-31,4571669,153862,69088,1429
2020-08-01,4628497,154917,56828,1055
2020-08-02,4679291,155337,50794,420
2020-08-03,4726775,155945,47484,608
2020-08-04,4780324,157301,53549,1356
2020-08-05,4834047,158554,53723,1253
2020-08-06,4891561,159625,57514,1071
2020-08-07,4952718,160981,61157,1356
2020-08-08,5007958,161947,55240,966
2020-08-09,5056438,162486,48480,539
2020-08-10,5103611,163023,47173,537
2020-08-11,5156968,164474,53357,1451
2020-08-12,5211246,165952,54278,1478
2020-08-13,5265307,167165,54061,1213
2020-08-14,5324784,168341,59477,1176
2020-08-15,5375527,169400,50743,1059
2020-08-16,5417664,169914,42137,514
2020-08-17,5455187,170449,37523,535
2020-08-18,5498420,171798,43233,1349
2020-08-19,5541433,173093,43013,1295
2020-08-20,5587462,174136,46029,1043
2020-08-21,5636491,175297,49029,1161
2020-08-22,5681517,176247,45026,950
2020-08-23,5713850,176693,32333,446
2020-08-24,5754254,177197,40404,504
2020-08-25,5793437,178410,39183,1213
2020-08-26,5838756,179603,45319,1193
2020-08-27,5884366,180729,45610,1126
2020-08-28,5930930,181739,46564,1010
2020-08-29,5975540,182610,44610,871
2020-08-30,6008970,182984,33430,374
2020-08-31,6045455,183472,36485,488
2020-09-01,6089504,184563,44049,1091
2020-09-02,6121948,185639,32444,1076
2020-09-03,6168342,186717,46394,1078
2020-09-04,6220446,187697,52104,980
2020-09-05,6262700,188409,42254,712
2020-09-06,6292699,188820,29999,411
2020-09-07,6317865,189083,25166,263
2020-09-08,6346806,189541,28941,458
2020-09-09,6380138,190716,33332,1175
2020-09-10,6418198,191631,38060,915
2020-09-11,6465766,192858,47568,1227
2020-09-12,6504870,193559,39104,701
2020-09-13,6538213,193958,33343,399
2020-09-14,6575100,194408,36887,450
2020-09-15,6614317,195689,39217,1281
2020-09-16,6653585,196686,39268,997
2020-09-17,6698895,197535,45310,849
2020-09-18,6747782,198484,48887,949
2020-09-19,6789593,199154,41811,670
2020-09-20,6825949,199367,36356,213
2020-09-21,6880899,199797,54950,430
2020-09-22,6918290,200738,37391,941
2020-09-23,6959841,201828,41551,1090
2020-09-24,7005043,202713,45202,885
2020-09-25,7059624,203566,54581,853
2020-09-26,7102321,204335,42697,769
2020-09-27,7139619,204602,37298,267
2020-09-28,7176979,204952,37360,350
2020-09-29,7220676,205878,43697,926
2020-09-30,7262734,206852,42058,974
2020-10-01,7309152,207699,46418,847
2020-10-02,7362732,208564,53580,865
2020-10-03,7410511,209273,47779,709
2020-10-04,7445574,209606,35063,333
2020-10-05,7507986,210035,62412,429
2020-10-06,7550848,210756,42862,721
2020-10-07,7603865,211752,53017,996
2020-10-08,7660248,212680,56383,928
2020-10-09,7719210,213595,58962,915
2020-10-10,7770858,214187,51648,592
2020-10-11,7815641,214606,44783,419
2020-10-12,7863657,214957,48016,351
2020-10-13,7918051,215783,54394,826
2020-10-14,7977904,216792,59853,1009
2020-10-15,8043257,217585,65353,793
2020-10-16,8113720,218476,70463,891
2020-10-17,8166481,219154,52761,678
2020-10-18,8214363,219541,47882,387
2020-10-19,8279803,220058,65440,517
2020-10-20,8340397,220987,60594,929
2020-10-21,8404634,222195,64237,1208
2020-10-22,8479762,223023,75128,828
2020-10-23,8565059,223953,85297,930
2020-10-24,8643640,224825,78581,872
2020-10-25,8703355,225164,59715,339
2020-10-26,8777986,225701,74631,537
2020-10-27,8852373,226684,74387,983
2020-10-28,8934258,227702,81885,1018
2020-10-29,9024915,228706,90657,1004
2020-10-30,9124783,229674,99868,968
2020-10-31,9208993,230512,84210,838
2020-11-01,9283188,230940,74195,428
2020-11-02,9377201,231480,94013,540
2020-11-03,9469617,232610,92416,1130
2020-11-04,9577697,234226,108080,1616
2020-11-05,9699030,235334,121333,1108
2020-11-06,9831853,236582,132823,1248
2020-11-07,9957785,237589,125932,1007
2020-11-08,10061201,238053,103416,464
2020-11-09,10191642,238798,130441,745
2020-11-10,10331392,240262,139750,1464
2020-11-11,10474277,241693,142885,1431
2020-11-12,10637917,242865,163640,1172
2020-11-13,10819414,244255,181497,1390
2020-11-14,10978447,245465,159033,1210
2020-11-15,11113634,246088,135187,623
2020-11-16,11280194,246884,166560,796
2020-11-17,11441833,248491,161639,1607
2020-11-18,11614116,250415,172283,1924
2020-11-19,11801631,252376,187515,1961
2020-11-20,12000512,254333,198881,1957
2020-11-21,12172457,255758,171945,1425
2020-11-22,12313295,256601,140838,843
2020-11-23,12493028,257639,179733,1038
2020-11-24,12670931,259848,177903,2209
2020-11-25,12851603,262161,180672,2313
2020-11-26,12954496,263339,102893,1178
2020-11-27,13160382,264751,205886,1412
2020-11-28,13311528,265943,151146,1192
2020-11-29,13447900,266761,136372,818
2020-11-30,13615739,268031,167839,1270
2020-12-01,13799999,270639,184260,2608
2020-12-02,14001210,273525,201211,2886
2020-12-03,14218973,276381,217763,2856
2020-12-04,14450360,279018,231387,2637
2020-12-05,14656033,281208,205673,2190
2020-12-06,14828141,282319,172108,1111
2020-12-07,15032433,283853,204292,1534
2020-12-08,15252314,286674,219881,2821
2020-12-09,15472050,289830,219736,3156
2020-12-10,15697271,292771,225221,2941
2020-12-11,15977838,295726,280567,2955
2020-12-12,16185267,297981,207429,2255
2020-12-13,16369491,299338,184224,1357
2020-12-14,16570615,301016,201124,1678
2020-12-15,16773586,304041,202971,3025
2020-12-16,17018628,307652,245042,3611
2020-12-17,17257055,310950,238427,3298
2020-12-18,17508278,313820,251223,2870
2020-12-19,17702197,316381,193919,2561
2020-12-20,17882143,317810,179946,1429
2020-12-21,18083756,319773,201613,1963
2020-12-22,18285416,323012,201660,3239
2020-12-23,18513204,326424,227788,3412
2020-12-24,18706752,329248,193548,2824
2020-12-25,18807725,330377,100973,1129
2020-12-26,19024581,332023,216856,1646
2020-12-27,19176674,333253,152093,1230
2020-12-28,19365740,335152,189066,1899
2020-12-29,19566832,338780,201092,3628
2020-12-30,19795855,342588,229023,3808
2020-12-31,20026890,346050,231035,3462
2021-01-01,20174150,347970,147260,1920
2021-01-02,20465532,350343,291382,2373
2021-01-03,20667499,351694,201967,1351
2021-01-04,20919461,353743,251962,2049
2021-01-05,21154488,357432,235027,3689
2021-01-06,21410248,361396,255760,3964
2021-01-07,21690526,365507,280278,4111
2021-01-08,21991145,369402,300619,3895
2021-01-09,22243274,372663,252129,3261
2021-01-10,22451610,374440,208336,1777
2021-01-11,22674554,376488,222944,2048
2021-01-12,22904249,380894,229695,4406
2021-01-13,23133567,384824,229318,3930
2021-01-14,23372166,388804,238599,3980
2021-01-15,23613101,392553,240935,3749
2021-01-16,23814760,395894,201659,3341
2021-01-17,23984382,397624,169622,1730
2021-01-18,24127029,399065,142647,1441
2021-01-19,24312099,401836,185070,2771
2021-01-20,24499015,406216,186916,4380
2021-01-21,24689149,410351,190134,4135
2021-01-22,24880891,414082,191742,3731
2021-01-23,25048834,417404,167943,3322
2021-01-24,25178356,419219,129522,1815
2021-01-25,25334061,421126,155705,1907
2021-01-26,25485678,425223,151617,4097
2021-01-27,25641317,429326,155639,4103
2021-01-28,25806567,433194,165250,3868
2021-01-29,25972231,436794,165664,3600
2021-01-30,26106136,439435,133905,2641
2021-01-31,26219647,441299,113511,1864
2021-02-01,26359498,443249,139851,1950
2021-02-02,26477401,446860,117903,3611
2021-02-03,26597440,450703,120039,3843
2021-02-04,26723277,455820,125837,5117
2021-02-05,26852851,459390,129574,3570
2021-02-06,26957876,462052,105025,2662
2021-02-07,27045205,463353,87329,1301
2021-02-08,27137985,464936,92780,1583
2021-02-09,27234465,468106,96480,3170
2021-02-10,27329382,471360,94917,3254
2021-02-11,27434981,475238,105599,3878
2021-02-12,27534539,480701,99558,5463
2021-02-13,27619266,484074,84727,3373
2021-02-14,27683116,485154,63850,1080
2021-02-15,27738488,486148,55372,994
2021-02-16,27802864,487855,64376,1707
2021-02-17,27873040,490326,70176,2471
2021-02-18,27944914,492951,71874,2625
2021-02-19,28022949,495572,78035,2621
2021-02-20,28092672,497403,69723,1831
2021-02-21,28147867,498650,55195,1247
2021-02-22,28207329,500104,59462,1454
2021-02-23,28279131,502432,71802,2328
2021-02-24,28353261,505642,74130,3210
2021-02-25,28431065,508107,77804,2465
2021-02-26,28509327,510283,78262,2176
2021-02-27,28572021,511850,62694,1567
2021-02-28,28622946,512979,50925,1129
2021-03-01,28679618,514404,56672,1425
2021-03-02,28737407,515710,57789,1306
2021-03-03,28804121,518079,66714,2369
2021-03-04,28871536,520028,67415,1949
2021-03-05,28937218,522511,65682,2483
2021-03-06,28993824,523970,56606,1459
2021-03-07,29034160,524652,40336,682
2021-03-08,29132673,525467,98513,815
2021-03-09,29188505,527352,55832,1885
2021-03-10,29247035,528829,58530,1477
2021-03-11,29309724,530351,62689,1522
2021-03-12,29373901,532058,64177,1707
2021-03-13,29423629,533904,49728,1846
2021-03-14,29461663,534476,38034,572
