date,cases,deaths,daily cases,daily deaths
2020-11-04,9577697,234226,121333,1108
2020-11-05,9699030,235334,132823,1248
2020-11-06,9831853,236582,125932,1007
2020-11-07,9957785,237589,103416,464
2020-11-08,10061201,238053,130441,745
2020-11-09,10191642,238798,139750,1464
2020-11-10,10331392,240262,142885,1431
2020-11-11,10474277,241693,163640,1172
2020-11-12,10637917,242865,181497,1390
2020-11-13,10819414,244255,159033,1210
2020-11-14,10978447,245465,135187,623
2020-11-15,11113634,246088,166560,796
2020-11-16,11280194,246884,161639,1607
2020-11-17,11441833,248491,172283,1924
2020-11-18,11614116,250415,187515,1961
2020-11-19,11801631,252376,198881,1957
2020-11-20,12000512,254333,171945,1425
2020-11-21,12172457,255758,140838,843
2020-11-22,12313295,256601,179612,1038
2020-11-23,12492907,257639,178024,2209
2020-11-24,12670931,259848,180672,2313
2020-11-25,12851603,262161,102893,1178
2020-11-26,12954496,263339,205886,1412
2020-11-27,13160382,264751,151146,1192
2020-11-28,13311528,265943,136372,818
2020-11-29,13447900,266761,167839,1270
2020-11-30,13615739,268031,184260,2608
2020-12-01,13799999,270639,201211,2886
2020-12-02,14001210,273525,217763,2856
2020-12-03,14218973,276381,231387,2637
2020-12-04,14450360,279018,205673,2190
2020-12-05,14656033,281208,172108,1111
2020-12-06,14828141,282319,204292,1534
2020-12-07,15032433,283853,219881,2821
2020-12-08,15252314,286674,219736,3156
2020-12-09,15472050,289830,225221,2941
2020-12-10,15697271,292771,280567,2955
2020-12-11,15977838,295726,207429,2255
2020-12-12,16185267,297981,184224,1357
2020-12-13,16369491,299338,201124,1678
2020-12-14,16570615,301016,202971,3025
2020-12-15,16773586,304041,245042,3611
2020-12-16,17018628,307652,238427,3298
2020-12-17,17257055,310950,251223,2870
2020-12-18,17508278,313820,193919,2561
2020-12-19,17702197,316381,179946,1429
2020-12-20,17882143,317810,201613,1963
2020-12-21,18083756,319773,201660,3239
2020-12-22,18285416,323012,227788,3412
2020-12-23,18513204,326424,193548,2824
2020-12-24,18706752,329248,100973,1129
2020-12-25,18807725,330377,216856,1646
2020-12-26,19024581,332023,152093,1230
2020-12-27,19176674,333253,189066,1899
2020-12-28,19365740,335152,201092,3628
2020-12-29,19566832,338780,229023,3808
2020-12-30,19795855,342588,231035,3462
2020-12-31,20026890,346050,147260,1920
2021-01-01,20174150,347970,291382,2373
2021-01-02,20465532,350343,201967,1351
2021-01-03,20667499,351694,251962,2049
2021-01-04,20919461,353743,235027,3689
2021-01-05,21154488,357432,255760,3964
2021-01-06,21410248,361396,280278,4111
2021-01-07,21690526,365507,300619,3895
2021-01-08,21991145,369402,252129,3261
2021-01-09,22243274,372663,208336,1777
2021-01-10,22451610,374440,222944,2048
2021-01-11,22674554,376488,229695,4406
2021-01-12,22904249,380894,229318,3930
2021-01-13,23133567,384824,238599,3980
2021-01-14,23372166,388804,240935,3749
2021-01-15,23613101,392553,201659,3341
2021-01-16,23814760,395894,169622,1730
2021-01-17,23984382,397624,142647,1441
2021-01-18,24127029,399065,185070,2771
2021-01-19,24312099,401836,186916,4380
2021-01-20,24499015,406216,190134,4135
2021-01-21,24689149,410351,191742,3731
2021-01-22,24880891,414082,167943,3322
2021-01-23,25048834,417404,129522,1815
2021-01-24,25178356,419219,155705,1907
2021-01-25,25334061,421126,151617,4097
2021-01-26,25485678,425223,155639,4103
2021-01-27,25641317,429326,165250,3868
2021-01-28,25806567,433194,165664,3600
2021-01-29,25972231,436794,133905,2641
2021-01-30,26106136,439435,113511,1864
2021-01-31,26219647,441299,139851,1950
2021-02-01,26359498,443249,117903,3611
2021-02-02,26477401,446860,120039,3843
2021-02-03,26597440,450703,125837,5117
2021-02-04,26723277,455820,129574,3570
2021-02-05,26852851,459390,105025,2662
2021-02-06,26957876,462052,87329,1301
2021-02-07,27045205,463353,92780,1583
2021-02-08,27137985,464936,96480,3170
2021-02-09,27234465,468106,94917,3254
2021-02-10,27329382,471360,105599,3878
2021-02-11,27434981,475238,99558,5463
2021-02-12,27534539,480701,84727,3373
2021-02-13,27619266,484074,,
